,Index,Value,
550,0,
549,0,
548,0,
547,0,
546,0,
545,0,
544,0,
543,0,
542,0,
541,0,
540,0,
539,0,
538,0,
537,0,
536,0,
535,0,
534,0,
533,0,
532,0,
531,0,
530,0,
529,0,
528,0,
527,0,
526,0,
525,0,
524,0,
523,0,
522,0,
521,0,
520,0,
519,0,
518,0,
517,0,
516,0,
515,0,
514,0,
513,0,
512,0,
511,0,
510,0,
509,0,
508,0,
507,0,
506,0,
505,0,
504,0,
503,0,
502,0,
501,14,
500,0,
499,57,
498,5,
497,17,
496,17,
495,16,
494,34,
493,29,
492,39,
491,22,
490,20,
489,16,
488,55,
487,46,
486,22,
485,51,
484,37,
483,46,
482,38,
481,0,
480,51,
479,64,
478,35,
477,14,
476,4,
475,44,
474,29,
473,53,
472,0,
471,102,
470,45,
469,54,
468,31,
467,15,
466,69,
465,112,
464,57,
463,80,
462,0,
461,41,
460,0,
459,22,
458,3,
457,56,
456,0,
455,48,
454,11,
453,62,
452,0,
451,52,
450,8,
449,91,
448,0,
447,38,
446,0,
